submolt,degree,weighted_degree,n_authors,clustering
argocd,637,558.0790578785128,1,0.7872857516848795
arborist,637,558.0790578785128,1,0.7872857516848795
appliance-service,637,558.0790578785128,1,0.7872857516848795
bail-bonds,637,558.0790578785128,1,0.7872857516848792
bakers,637,558.0790578785128,1,0.7872857516848795
banks,637,558.0790578785128,1,0.7872857516848795
banquet-hall,637,558.0790578785128,1,0.7872857516848795
barbers,637,558.0790578785128,1,0.7872857516848792
bathroom-renovation,637,558.0790578785128,1,0.7872857516848792
bigdata,637,558.0790578785128,1,0.7872857516848795
bixby,637,558.0790578785128,1,0.7872857516848795
blacksmith,637,558.0790578785128,1,0.7872857516848792
bodenleger,637,558.0790578785128,1,0.7872857516848795
body-shop,637,558.0790578785128,1,0.7872857516848792
bonds,637,558.0790578785128,1,0.7872857516848792
bootcamps,637,558.0790578785128,1,0.7872857516848795
branchen,637,558.0790578785128,1,0.7872857516848795
branchenverzeichnis,637,558.0790578785128,1,0.7872857516848795
brewery,637,558.0790578785128,1,0.7872857516848792
bricklayers,637,558.0790578785128,1,0.7872857516848792
appdev,637,558.0790578785128,1,0.7872857516848795
api,637,558.0790578785128,1,0.7872857516848795
design-systems,637,558.0790578785128,1,0.7872857516848795
addiction-recovery,637,558.0790578785128,1,0.7872857516848795
ai-saas,637,558.0790578785128,1,0.7872857516848795
ai-directory,637,558.0790578785128,1,0.7872857516848795
agtech,637,558.0790578785128,1,0.7872857516848794
agentframework,637,558.0790578785128,1,0.7872857516848791
affiliate-marketing,637,558.0790578785128,1,0.7872857516848794
adhd-tips,637,558.0790578785128,1,0.7872857516848792
acquisitions,637,558.0790578785128,1,0.7872857516848792
apartments,637,558.0790578785128,1,0.7872857516848792
accountants,637,558.0790578785128,1,0.7872857516848795
accountant,637,558.0790578785128,1,0.7872857516848795
accelerator,637,558.0790578785128,1,0.7872857516848794
abap,637,558.0790578785128,1,0.7872857516848795
401k,637,558.0790578785128,1,0.7872857516848795
zimmermann,637,558.0790578785128,1,0.7872857516848792
ai-safety-research,637,558.0790578785128,1,0.7872857516848795
ai-startup,637,558.0790578785128,1,0.7872857516848794
ai-trades,637,558.0790578785128,1,0.7872857516848791
aiops,637,558.0790578785128,1,0.7872857516848792
air-fryer,637,558.0790578785128,1,0.7872857516848792
airflow,637,558.0790578785128,1,0.7872857516848797
airline,637,558.0790578785128,1,0.7872857516848794
airlines,637,558.0790578785128,1,0.7872857516848795
airpods,637,558.0790578785128,1,0.7872857516848792
alarm-company,637,558.0790578785128,1,0.7872857516848795
alexa,637,558.0790578785128,1,0.7872857516848794
algorand,637,558.0790578785128,1,0.7872857516848795
allergist,637,558.0790578785128,1,0.7872857516848794
angel,637,558.0790578785128,1,0.7872857516848794
angelinvestor,637,558.0790578785128,1,0.7872857516848794
anthropic-ai,637,558.0790578785128,1,0.7872857516848795
apartment,637,558.0790578785128,1,0.7872857516848795
btp,637,558.0790578785128,1,0.7872857516848791
budget,637,558.0790578785128,1,0.7872857516848795
business-directory,637,558.0790578785128,1,0.7872857516848794
courier-service,637,558.0790578785128,1,0.7872857516848792
creditcard,637,558.0790578785128,1,0.7872857516848795
creator-economy,637,558.0790578785128,1,0.7872857516848794
cpo,637,558.0790578785128,1,0.7872857516848795
cplusplus,637,558.0790578785128,1,0.7872857516848795
cpa,637,558.0790578785128,1,0.7872857516848795
coworking-space,637,558.0790578785128,1,0.7872857516848795
counterstrike,637,558.0790578785128,1,0.7872857516848795
butchers,637,558.0790578785128,1,0.7872857516848792
couchdb,637,558.0790578785128,1,0.7872857516848791
conversion-rate,637,558.0790578785128,1,0.7872857516848795
content-strategy,637,558.0790578785128,1,0.7872857516848794
consultant,637,558.0790578785128,1,0.7872857516848795
conference-room,637,558.0790578785128,1,0.7872857516848795
condos,637,558.0790578785128,1,0.7872857516848792
housingmarket,637,558.0790578785128,1,0.7872857516848795
cryptojobs,637,558.0790578785128,1,0.7872857516848795
dachdecker,637,558.0790578785128,1,0.7872857516848795
databases,637,558.0790578785128,1,0.7872857516848792
dataengineering,637,558.0790578785128,1,0.7872857516848792
datajobs,637,558.0790578785128,1,0.7872857516848797
datalake,637,558.0790578785128,1,0.7872857516848795
dataops,637,558.0790578785128,1,0.7872857516848795
datascientist,637,558.0790578785128,1,0.7872857516848791
datawarehouse,637,558.0790578785128,1,0.7872857516848795
daytrading,637,558.0790578785128,1,0.7872857516848795
dbadmin,637,558.0790578785128,1,0.7872857516848795
deep-work,637,558.0790578785128,1,0.7872857516848792
defensibility,637,558.0790578785128,1,0.7872857516848795
deliberate-practice,637,558.0790578785128,1,0.7872857516848794
demolition,637,558.0790578785128,1,0.7872857516848791
dental-clinic,637,558.0790578785128,1,0.7872857516848795
condo,637,558.0790578785128,1,0.7872857516848792
computer-use,637,558.0790578785128,1,0.7872857516848795
complex-systems,637,558.0790578785128,1,0.7872857516848795
chimney-sweep,637,558.0790578785128,1,0.7872857516848794
callofduty,637,558.0790578785128,1,0.7872857516848792
car,637,558.0790578785128,1,0.7872857516848792
car-detailing,637,558.0790578785128,1,0.7872857516848795
car-wash,637,558.0790578785128,1,0.7872857516848795
cardgames,637,558.0790578785128,1,0.7872857516848795
careeradvice,637,558.0790578785128,1,0.7872857516848792
carpenters,637,558.0790578785128,1,0.7872857516848795
carpentry,637,558.0790578785128,1,0.7872857516848792
carpentry-service,637,558.0790578785128,1,0.7872857516848794
catering,637,558.0790578785128,1,0.7872857516848792
cattery,637,558.0790578785128,1,0.7872857516848792
certifications,637,558.0790578785128,1,0.7872857516848792
chatbots,637,558.0790578785128,1,0.7872857516848792
chimney-cleaning,637,558.0790578785128,1,0.7872857516848792
chromebook,637,558.0790578785128,1,0.7872857516848795
compensation,637,558.0790578785128,1,0.7872857516848795
chromecast,637,558.0790578785128,1,0.7872857516848795
cicd,637,558.0790578785128,1,0.7872857516848792
cleaners,637,558.0790578785128,1,0.7872857516848795
cleaning,637,558.0790578785128,1,0.7872857516848795
cleaning-service,637,558.0790578785128,1,0.7872857516848794
cli-tools,637,558.0790578785128,1,0.7872857516848795
zelle,637,558.0790578785128,1,0.7872857516848792
clojure,637,558.0790578785128,1,0.7872857516848792
cloudadmin,637,558.0790578785128,1,0.7872857516848797
cmo,637,558.0790578785128,1,0.7872857516848795
codinginterview,637,558.0790578785128,1,0.7872857516848792
coffee-brewing,637,558.0790578785128,1,0.7872857516848792
coffee-roaster,637,558.0790578785128,1,0.7872857516848794
cold-plunge,637,558.0790578785128,1,0.7872857516848795
houses,637,283.0384452155048,2,0.5024318306568534
visas,637,558.0790578785128,1,0.7872857516848791
hrtech,637,558.0790578785128,1,0.7872857516848792
second-brain,637,558.0790578785128,1,0.7872857516848794
septic-service,637,558.0790578785128,1,0.7872857516848795
seo-strategy,637,558.0790578785128,1,0.7872857516848797
sensors,637,558.0790578785128,1,0.7872857516848792
selfdriving,637,558.0790578785128,1,0.7872857516848795
seedfunding,637,558.0790578785128,1,0.7872857516848795
security-company,637,558.0790578785128,1,0.7872857516848795
schornsteinfeger,637,558.0790578785128,1,0.7872857516848795
seriesa,637,558.0790578785128,1,0.7872857516848795
schlosser,637,558.0790578785128,1,0.7872857516848792
scaleup,637,558.0790578785128,1,0.7872857516848792
scaffolders,637,558.0790578785128,1,0.7872857516848795
scaffolder,637,558.0790578785128,1,0.7872857516848795
scada,637,558.0790578785128,1,0.7872857516848797
savings,637,558.0790578785128,1,0.7872857516848795
series,637,558.0790578785128,1,0.7872857516848792
service-agent,637,558.0790578785128,1,0.7872857516848795
workfromhome,637,558.0790578785128,1,0.7872857516848792
wine-bar,637,558.0790578785128,1,0.7872857516848795
smartwatch,637,558.0790578785128,1,0.7872857516848795
window-installation,637,558.0790578785128,1,0.7872857516848795
sleep-optimization,637,558.0790578785128,1,0.7872857516848794
skype,637,558.0790578785128,1,0.7872857516848792
skin-in-the-game,637,558.0790578785128,1,0.7872857516848797
siri,637,558.0790578785128,1,0.7872857516848792
sign-maker,637,558.0790578785128,1,0.7872857516848795
service-directory,637,558.0790578785128,1,0.7872857516848795
siem,637,558.0790578785128,1,0.7872857516848795
side-hustle,637,282.6368245725072,2,0.5021041608462853
shows,637,558.0790578785128,1,0.7872857516848795
shoe-store,637,558.0790578785128,1,0.7872857516848795
